hotelId,hotelName,star,starType,categoryName,categoryId,cityId,cityName,address,positionDesc,latitude,longitude,commentScore,commentDescription,commenterNumber,fullRating,cleanlinessScore,facilitiesScore,locationScore,serviceScore,imageUrl,imageUrls,buttonContent,minPrice,avgPrice,maxPrice,displayPrices,roomNames,checkInDates,checkOutDates,amenities
130031563,KHÁCH SẠN MlLAN(HOTEL MlLAN),0,1,Khách sạn,495,94122,Dĩ An,,Dĩ An,10.889652,106.773965,,,,,,,,,https://ak-d.tripcdn.com/images/1mc0c12000qibg75xB98D_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc0c12000qibg75xB98D_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z62912000lveta3t23D3_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc6o12000q3fbgbh1F1D_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc2312000q3fcij83A27_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc5f12000p7u3s3k0B3F_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,363889,363889,625889,363.889₫,Phòng đơn Tiêu chuẩn,20251219,20251220,"Máy điều hòa, 35 ㎡, Máy giặt, Không hút thuốc, Wi-Fi miễn phí, Điều hòa nhiệt độ, TV, Phòng Tắm Riêng, 25 ㎡, Sân thượng, Tủ lạnh, Có cửa sổ, Vòi hoa sen, Máy sấy tóc"
118951053,Hoa Hồng Hotel Ho Chi Minh City(Hoa Hong Hotel HCMC),3,1,Khách sạn,495,301,TP. Hồ Chí Minh,,"Gần Hoa Nắng Spa, 958/37 Âu cơ, phường 14, Tân Bình, Thành phố Hồ Chí Minh",10.780123,106.623752,"7,1",,12 đánh giá,10,7.2,6.9,6.9,7.4,https://ak-d.tripcdn.com/images/1mc1i12000eb7li37276E_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc1i12000eb7li37276E_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0212000eb7n3va4DAC_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc7412000eb7mnwwC911_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc5o12000eb7mia7A6D8_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1ik4j12000mf9prw222F0_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,326984,326984,1110674,326.984₫,Phòng Deluxe với bồn tắm Spa,20251219,20251220,"Nhìn ra thành phố, Nhìn ra hồ bơi, Tầng: 3-6, 25 ㎡ | Tầng: 5-8, Tầng: 5-8, 25 ㎡ | Tầng: 3-6, 20 ㎡ | Tầng: 2-6, Máy điều hòa, Wi-Fi miễn phí, TV, Ban công, Không có cửa sổ, 25 ㎡, Phòng Tắm Riêng, Tủ lạnh, Máy sấy tóc, Không hút thuốc, Điều hòa nhiệt độ, Tầng: 2-6, 20 ㎡"
10672720,Khách sạn Venus(Venus Hotel),2,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Trung Tâm Triển Lãm Hội Nghị Quốc Tế Sky Expo Việt Nam,10.83808,106.65261,"8,1",Rất Tốt,86 đánh giá,10,8.7,7.9,7.7,8.2,https://ak-d.tripcdn.com/images/1mc3512000iq5iilr13FD_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc3512000iq5iilr13FD_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc6q12000iklizmi57DC_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4m12000iktzsig1DDB_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0583e12000l8kc6wa8EAD_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4i12000ikmakqkBDE8_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,363323,363323,395396,363.323₫,Phòng đôi Deluxe,20251219,20251220,"Nhìn ra thành phố, Máy điều hòa, Tiện ích phòng chờ cao cấp, Không hút thuốc, Không có cửa sổ, Wi-Fi miễn phí, Bar mini, Điều hòa nhiệt độ, 25 ㎡, Phòng Tắm Riêng, TV, Nhìn ra danh lam thắng cảnh, 30 ㎡, Tủ lạnh, 18 ㎡"
130895199,Bộ sưu tập O Sunrise Hotel Trung Sơn gần Lotte Mart(Collection O Sunrise Hotel Trung Son Near Lotte Mart),3,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Trung tâm Hội chợ và Triển lãm Sài Gòn,10.732419,106.690171,"7,0",,61 đánh giá,10,7.4,6.6,7.3,6.6,https://ak-d.tripcdn.com/images/1mc4s12000n6hkt8m2B61_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc4s12000n6hkt8m2B61_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0d12000n6hffes71D5_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc1912000n6hfgmq513F_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0224z12000o1hwtj5DB99_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc1j12000n6hgtnt9F31_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,324431,324431,1032551,324.431₫,Phòng Đôi Tiêu Chuẩn,20251219,20251220,"TV LCD, Không hút thuốc, Wi-Fi miễn phí, Bar mini, Phòng Tắm Riêng, Máy điều hòa (Chỉ làm mát), Một số phòng có cửa sổ, Internet: Liên hệ khách sạn, Điều hòa nhiệt độ (Chỉ làm mát), 20 ㎡, 12 ㎡"
714439,Hotel Avatar(Avatar hotel),2,1,Khách sạn,495,301,TP. Hồ Chí Minh,,"Gần Hoa Nắng Spa, 958/37 Âu cơ, phường 14, Tân Bình, Thành phố Hồ Chí Minh",10.786471,106.634555,"8,6",Rất Tốt,2 đánh giá,10,9.0,8.5,8.5,8.5,https://ak-d.tripcdn.com/images/1mc6312000q12j9hw5A09_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc6312000q12j9hw5A09_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4v12000q12o2oeEE9A_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc6512000q12sfgfA894_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0201e12000dviluy5229C_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0200512000dvimavtA5C8_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,292465,292465,331517,292.465₫,Phòng Tiêu Chuẩn Hướng Phố(giường queen),20251219,20251220,"35 ㎡, Không hút thuốc, Tầng: 3, Tầng: 1-3, 40 ㎡, 40 ㎡ | Tầng: 1-3, Có cửa sổ, Internet: Liên hệ khách sạn, 35 ㎡ | Tầng: 3, 20 ㎡"
132855281,Thuận Phát Motel(Thuan Phat Motel),0,1,Nhà nghỉ ven đường,496,77118,Thị xã Thuận An,,Thị xã Thuận An,10.942508,106.71993,,,,,,,,,https://ak-d.tripcdn.com/images/1z66712000pzqv2pd33CA_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1z66712000pzqv2pd33CA_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z60f12000pzqvjiq4C27_R_600_600_R5_D.png_.webp, https://ak-d.tripcdn.com/images/1z62v12000pzquzen79C7_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z66t12000pzqufvl21B3_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z63n12000pzquukjFEF6_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,270833,270833,303625,270.833₫,Phòng thường,20251219,20251220,"Có cửa sổ, Không hút thuốc, Wi-Fi miễn phí"
10051616,Khách sạn Long Sơn(Long Son Hotel),2,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Trung tâm Văn hóa Hòa Bình Quận 10,10.773659,106.655933,"2,5",,2 đánh giá,10,2.5,2.5,2.5,2.5,https://ak-d.tripcdn.com/images/02249120009gkmjopC092_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/02249120009gkmjopC092_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1ik4n12000nmaweawA8E2_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0224x12000brb5qv1ADF3_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0583d12000i9ivac2D21C_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0224a12000aky4djq53EA_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,237919,237919,252119,237.919₫,Phòng Đơn,20251219,20251220,"Không có cửa sổ, Không hút thuốc, 16 ㎡, Wi-Fi miễn phí, TV, Máy điều hòa (Chỉ làm mát), Có cửa sổ, 32 ㎡, Điều hòa nhiệt độ (Chỉ làm mát)"
132929704,Collection O Duc Dat Hotel - Go Vap District(Collection O Duc Dat Hotel - Go Vap District),3,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Trung Tâm Triển Lãm Hội Nghị Quốc Tế Sky Expo Việt Nam,10.839386,106.647426,,,,,,,,,https://ak-d.tripcdn.com/images/1mc0912000qc8l23l9CD2_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc0912000qc8l23l9CD2_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc6c12000qc8g6f56699_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0b12000qc8ju55B5EB_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0r12000qc8k582D963_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0224v12000qct9g9lD2F9_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,232553,232553,613522,232.553₫,Deluxe giường đôi,20251219,20251220,"Máy điều hòa, TV LCD, 17 ㎡, Không hút thuốc, Wi-Fi miễn phí, Bar mini, Điều hòa nhiệt độ, Phòng Tắm Riêng, 15 ㎡, Vòi hoa sen, Một số phòng có cửa sổ, 20 ㎡"
132170037,Hà Đan Hotel - Bãi Sau Vũng Tàu(Ha Dan Hotel - Bai Sau Vung Tau),2,1,Khách sạn,495,7529,Vũng Tàu,Trung tâm Vũng Tàu,"Gần Tượng đài Chúa Kitô | Trung tâm Vũng Tàu, Vũng Tàu",10.33876,107.088988,"8,2",Rất Tốt,1 đánh giá,10,8.2,8.2,8.3,8.2,https://ak-d.tripcdn.com/images/1mc0j12000oxzgckiC406_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc0j12000oxzgckiC406_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc1a12000oxydjy0C112_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc2n12000oxydgpd35D2_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z63c12000oxl7ro38A53_R_600_600_R5_D.png_.webp, https://ak-d.tripcdn.com/images/1mc3k12000oxydgb08A8A_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,166772,166772,383730,166.772₫,Phòng Giường Đôi,20251219,20251220,"Nhìn ra thành phố, 35 ㎡, Tầng: 1-5, 12 ㎡ | Tầng: 1-5, 30 ㎡, Điều hòa nhiệt độ (Chỉ làm mát), Wi-Fi miễn phí, TV, Ban công, Máy điều hòa (Chỉ làm mát), Không có cửa sổ, Bar mini, Phòng Tắm Riêng, Tủ lạnh, 30 ㎡ | Tầng: 1-5, Máy sấy tóc, 40 ㎡, 12 ㎡, 35 ㎡ | Tầng: 1-5, Không hút thuốc, 20 ㎡ | Tầng: 1-5, 40 ㎡ | Tầng: 1-5, Cửa sổ nhỏ, Vòi hoa sen, 20 ㎡"
101235994,3H GRAND HOTEL(3H GRAND HOTEL),3,1,Khách sạn,495,7529,Vũng Tàu,Trung tâm Vũng Tàu,"Gần Tượng đài Chúa Kitô | Trung tâm Vũng Tàu, Vũng Tàu",10.330189,107.084646,"7,8",Tốt,33 đánh giá,10,7.4,7.2,8.1,8.4,https://ak-d.tripcdn.com/images/1mc3r12000fzvqox2BE25_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc3r12000fzvqox2BE25_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc3312000nlhonymC851_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0y12000fzvu2t1BB8F_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc3c12000fzvuatn62BA_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc5s12000fzvuv6eCDB2_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,223515,223515,447434,223.515₫,Twin Room with Moutain View,20251219,20251220,"Nhìn ra thành phố, Tầng: 2-5, 30 ㎡ | Tầng: 2-5, 25 ㎡ | Tầng: 2-5, 30 ㎡, Máy điều hòa, Wi-Fi miễn phí, TV, 15 ㎡ | Tầng: 2-5, Bồn tắm, Bar mini, 25 ㎡, Phòng Tắm Riêng, Bồn tắm ngâm sâu, Tủ lạnh, Nhìn ra biển, Ghế Sofa, Máy sấy tóc, Nhìn ra núi, Không hút thuốc, Điều hòa nhiệt độ, 15 ㎡, Vòi hoa sen"
22222044,Tomorrow Hostel Vũng Tàu - Tomorrow Homestay(Tomorrow Hostel Vung Tau - Tomorrow Homestay),3,2,Nhà nghỉ thanh niên,519,7529,Vũng Tàu,Trung tâm Vũng Tàu,"Gần Tượng đài Chúa Kitô | Trung tâm Vũng Tàu, Vũng Tàu",10.344452,107.07993,"8,3",Rất Tốt,21 đánh giá,10,7.4,8.0,8.8,8.9,https://ak-d.tripcdn.com/images/0224w12000ch2i64x72B1_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/0224w12000ch2i64x72B1_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0582z12000f7572xm46A0_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0221812000arptk0722DF_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0225112000kvnlyjs2E0C_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0220m12000kvnlyjy661A_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,91474,91474,166174,91.474₫,Giường trong Phòng Ngủ Tập Thể 8 Người,20251219,20251220,"30 ㎡, Internet: Liên hệ khách sạn, Không hút thuốc, 22 ㎡"
73239181,Sun Hill Hotel(Sun Hill Hotel),3,2,Homestay,510,7529,Vũng Tàu,Trung tâm Vũng Tàu,"Gần Tượng đài Chúa Kitô | Trung tâm Vũng Tàu, Vũng Tàu",10.336007,107.081577,"8,7",Rất Tốt,41 đánh giá,10,8.8,8.4,8.6,9.1,https://ak-d.tripcdn.com/images/0221212000aq3m9fbE4E0_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/0221212000aq3m9fbE4E0_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc5812000iiwdyj865B1_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc3d12000iiwfk9bD2B8_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0220c12000c27axorB527_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc3212000ij4f29j4A5E_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,325059,325059,747916,325.059₫,Family Room,20251219,20251220,"Nhìn ra thành phố, Tầng: 2-5, 25 ㎡ | Tầng: 2-5, 20 ㎡ | Tầng: 2-5, Điều hòa nhiệt độ (Chỉ làm mát), Wi-Fi miễn phí, TV, Ban công, Máy điều hòa (Chỉ làm mát), Bồn tắm, 18 ㎡, Bar mini, 25 ㎡, Phòng Tắm Riêng, Bồn tắm ngâm sâu, Tủ lạnh, Máy sấy tóc, Nhìn ra núi, Không hút thuốc, 18 ㎡ | Tầng: 2-5, Vòi hoa sen, 20 ㎡"
71391746,Khách Sạn Đại An Bình Tân(Dai An Binh Tan Hotel),2,1,Khách sạn,495,301,TP. Hồ Chí Minh,,"Cách trung tâm 11,5km",10.814904,106.59798,"6,5",,15 đánh giá,10,6.4,6.5,6.0,7.3,https://ak-d.tripcdn.com/images/0202h120008fnfgvaE025_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/0202h120008fnfgvaE025_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0581u12000hrby6hz9978_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0222812000akrs58r4E2F_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/02022120008fnfx3aE78F_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc6b12000gvkfecl2119_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,292663,292663,629949,292.663₫,Phòng Đôi,20251219,20251220,"Máy điều hòa, Không hút thuốc, 34 ㎡, Điều hòa nhiệt độ, TV, Phòng Tắm Riêng, 28 ㎡ | Tầng: 1, 28 ㎡, Hệ thống sưởi, 34 ㎡ | Tầng: 1, Có cửa sổ, Vòi hoa sen, Máy sấy tóc, Internet: Liên hệ khách sạn, Tầng: 1"
119974120,COLE APARTMENT & HOTEL(COLE APARTMENT & HOTEL),3,1,Khách sạn,495,301,TP. Hồ Chí Minh,Khu vực sân bay quốc tế Tân Sơn Nhất,"Gần Cc Thái An, Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TP Ho Chi Minh | Khu vực sân bay quốc tế Tân Sơn Nhất",10.828283,106.639948,"9,5",Đáng Kinh Ngạc,2 đánh giá,10,10.0,10.0,8.0,10.0,https://ak-d.tripcdn.com/images/1mc6r12000otvdi1m9224_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc6r12000otvdi1m9224_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4512000qlpc9p25579_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0226012000eeh92ndD6F9_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0582n12000iri2ugxE5CC_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0586s12000ikgmpvb37D0_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,494750,494750,1128420,494.750₫,Deluxe,20251219,20251220,"Nhìn ra thành phố, 25 ㎡ | Tầng: 3-4, Điều hòa nhiệt độ (Chỉ làm mát), Tầng: 5, Lò vi sóng, Wi-Fi miễn phí, TV, Ban công, Bồn tắm, Máy điều hòa (Chỉ làm mát), 18 ㎡ | Tầng: 1-3, 18 ㎡, 38 ㎡ | Tầng: 3-4, 25 ㎡, Phòng Tắm Riêng, Tủ lạnh, Tầng: 3-4, Ghế Sofa, Máy sấy tóc, 24 ㎡, 40 ㎡, Không hút thuốc, Tầng: 1-3, 38 ㎡ | Tầng: 5, 38 ㎡, Vòi hoa sen"
118611895,Khách Sạn Bảo Long Riverside(Bao Long Riverside Hotel),2,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Cảng hàng không Quốc tế Tân Sơn Nhất,10.831216,106.690768,"8,4",Rất Tốt,8 đánh giá,10,9.4,8.4,7.9,7.9,https://ak-d.tripcdn.com/images/1mc5512000dvhrnn453C9_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc5512000dvhrnn453C9_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc5f12000dvhrmvkB150_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc6x12000dvhniyx9C98_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc1d12000dvhmzv4DB6A_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc1212000dvhuy1118E1_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,369907,369907,440407,369.907₫,Queen Tiêu chuẩn,20251219,20251220,"Nhìn ra thành phố, Tầng: 1-5, 30 ㎡, 25 ㎡ | Tầng: 1,5, Tầng: 1,5, Điều hòa nhiệt độ (Chỉ làm mát), Wi-Fi miễn phí, 15 ㎡ | Tầng: 1-5, Ban công, Máy điều hòa (Chỉ làm mát), Có cửa sổ, 25 ㎡, Tủ lạnh, Máy sấy tóc, Tầng: 3-5, TV LCD, 15 ㎡, 30 ㎡ | Tầng: 3-5, Vòi hoa sen, 20 ㎡"
132621627,Hotel Anh Đức 2(Hotel Anh Duc 2),0,1,Khách sạn,495,456628,Chánh Nghĩa,,Chánh Nghĩa,10.971271,106.665416,,,,,,,,,https://ak-d.tripcdn.com/images/1mc5q12000ppncn0f5552_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc5q12000ppncn0f5552_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0112000pq4x3qfCAE3_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc5z12000pq4xsb9DB78_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z60312000ponw5vsB443_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4q12000pq5szwz5BCB_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,412371,412371,447010,412.371₫,Phòng Đơn View Cửa Sổ Nhỏ ,20251219,20251220,"Nhìn ra thành phố, 22 ㎡ | Tầng: 1-3, 32 ㎡ | Tầng: 3, Điều hòa nhiệt độ (Chỉ làm mát), 32 ㎡ | Tầng: 1-3, Tầng: 3, Wi-Fi miễn phí, 25 ㎡ | Tầng: 1-3, 34 ㎡, TV, Nhìn ra sân, Ban công, Máy điều hòa (Chỉ làm mát), Bồn tắm, Có cửa sổ, 34 ㎡ | Tầng: 3, 19 ㎡ | Tầng: 1-3, 19 ㎡, 21 ㎡ | Tầng: 1-3, 25 ㎡, Phòng Tắm Riêng, Bồn tắm ngâm sâu, Tủ lạnh, 32 ㎡, Máy sấy tóc, 23 ㎡, Chú thích chi tiết cho TV, Không hút thuốc, Tầng: 1-3, 22 ㎡, Vòi hoa sen, 25 ㎡ | Tầng: 3, 21 ㎡"
92191813,Khách sạn The Shilla Luxury I(The Shilla Luxury I Hotel-더신라럭셔리호텔),2,1,Khách sạn,495,301,TP. Hồ Chí Minh,Phú Mỹ Hưng,Gần Trung tâm Hội chợ và Triển lãm Sài Gòn | Phú Mỹ Hưng,10.732749,106.707384,"9,0",Tuyệt Vời,111 đánh giá,10,9.1,8.8,9.0,9.0,https://ak-d.tripcdn.com/images/0222d12000bjyy6oy34CC_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/0222d12000bjyy6oy34CC_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4l12000bjhfia9AF86_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0200w120009fmmo8y9032_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc0o12000e7klqml7E9B_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc1x12000d9z7566C058_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,411523,411523,0,411.523₫,Phòng Tiêu Chuẩn Tầng Hầm,20251219,20251220,"Nhìn ra thành phố, 16 ㎡, Lò vi sóng, Máy điều hòa, Wi-Fi miễn phí, Ban công, 18 ㎡ | Tầng: B1, Có cửa sổ, 18 ㎡, Không có cửa sổ, Tầng: B1, Phòng Tắm Riêng, Tủ lạnh, Ghế Sofa, Máy sấy tóc, TV LCD, Không hút thuốc, Điều hòa nhiệt độ, Nhà bếp"
125179043,Yoyo Airport Saigon Hotel(Yoyo Airport Saigon Hotel),3,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Cảng hàng không Quốc tế Tân Sơn Nhất,10.801349,106.66202,"8,5",Rất Tốt,88 đánh giá,10,8.6,8.0,8.9,8.4,https://ak-d.tripcdn.com/images/1mc2612000hfpm6mk45B7_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/1mc2612000hfpm6mk45B7_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1z60t12000hezh8d4D0CD_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc3c12000hfpy5tk26A5_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc4f12000hfpz2i4ABA0_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/1mc3d12000hfpyfus8BDC_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,409357,409357,433918,409.357₫,Superior Twin Room,20251219,20251220,"Tầng: 1-5, Điều hòa nhiệt độ (Chỉ làm mát), 25 ㎡ | Tầng: 4, Wi-Fi miễn phí, 25 ㎡ | Tầng: 6, Máy điều hòa (Chỉ làm mát), Có cửa sổ, 18 ㎡, Không có cửa sổ, 25 ㎡, Phòng Tắm Riêng, Tầng: 1-3,5, Tủ lạnh, Tầng: 4, Máy sấy tóc, TV LCD, Không hút thuốc, Tầng: 6, 20 ㎡ | Tầng: 1-5, 18 ㎡ | Tầng: 1-5, Cửa sổ không mở được, Vòi hoa sen, 25 ㎡ | Tầng: 1-3,5, 20 ㎡"
47157114,Khách sạn HappyHome(Happy Home),3,1,Khách sạn,495,301,TP. Hồ Chí Minh,,Gần Trung tâm Hội chợ và Triển lãm Sài Gòn,10.742479,106.722978,"6,9",,59 đánh giá,10,7.0,6.5,7.0,7.3,https://ak-d.tripcdn.com/images/0585h12000lvob81bA39C_R_600_600_R5_D.jpg,"https://ak-d.tripcdn.com/images/0585h12000lvob81bA39C_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0206q120008g3rzvl5CC2_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0585u12000oe0yn710556_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0221p12000kzbzmfj32F1_R_600_600_R5_D.jpg_.webp, https://ak-d.tripcdn.com/images/0221812000k6knrix0FE5_R_600_600_R5_D.jpg_.webp",Xem Phòng Trống,282016,282016,846528,282.016₫,Phòng Đôi Tiêu Chuẩn,20251219,20251220,"Máy điều hòa, Nhìn ra thành phố, Không có cửa sổ, Không hút thuốc, 22 ㎡, 31 ㎡, 31 ㎡ | Tầng: 1, Điều hòa nhiệt độ, TV, Phòng Tắm Riêng, Ban công, Tủ lạnh, 22 ㎡ | Tầng: 1, Internet: Liên hệ khách sạn, 18 ㎡, Tầng: 1"
